subset,condition,n_samples,minADE20,minFDE20,MR2.0,easy_vs_clean_ADE,hard_vs_clean_ADE,zs_minADE20,retrain_vs_zs_ADE
eth,clean,181,0.4686,0.6927,0.0939,,,0.436,+7.5%
eth,easy,905,0.5463,0.7404,0.116,+16.6%,,0.922,-40.8%
eth,hard,724,0.8993,1.1577,0.174,,+91.9%,2.379,-62.2%
hotel,clean,1053,0.1497,0.2094,0.0009,,,0.117,+28.0%
hotel,easy,5265,0.1725,0.271,0.0099,+15.2%,,0.291,-40.7%
hotel,hard,4212,0.4289,0.6381,0.0833,,+186.5%,0.84,-48.9%
univ,clean,24334,0.2414,0.42,0.0115,,,0.236,+2.3%
univ,easy,121670,0.2627,0.445,0.0138,+8.8%,,0.309,-15.0%
univ,hard,97336,0.4633,0.7157,0.0667,,+91.9%,0.733,-36.8%
zara1,clean,2253,0.1775,0.3097,0.0049,,,0.169,+5.1%
zara1,easy,11265,0.1941,0.3266,0.0046,+9.4%,,0.463,-58.1%
zara1,hard,9012,0.3302,0.5003,0.011,,+86.0%,1.431,-76.9%
zara2,clean,5833,0.1343,0.2297,0.0043,,,0.125,+7.5%
zara2,easy,29165,0.1487,0.2469,0.0043,+10.7%,,0.289,-48.6%
zara2,hard,23332,0.2553,0.3855,0.0087,,+90.1%,0.799,-68.0%
